category,data_load,data_wrangle,rows,cols,filesize
spark_in_memory,32.827,3.334,10000001,5,500.8695459365845
spark_not_cached,21.027,11.387,10000001,5,500.8695459365845
local_R,29.835,0.469999999999999,10000001,5,500.8695459365845
spark_in_memory,39.524,4.20400000000001,15000001,5,723.4786291122437
spark_not_cached,22.361,15.077,15000001,5,723.4786291122437
local_R,45.882,0.783999999999992,15000001,5,723.4786291122437
spark_in_memory,48.315,3.77800000000002,20000001,5,946.0805625915527
spark_not_cached,24.312,19.322,20000001,5,946.0805625915527
local_R,57.667,1.11099999999999,20000001,5,946.0805625915527
spark_in_memory,53.331,4.62400000000002,25000001,5,1168.9247484207153
spark_not_cached,25.4269999999999,28.014,25000001,5,1168.9247484207153
local_R,79.7719999999999,1.423,25000001,5,1168.9247484207153
spark_in_memory,59.4780000000001,4.84699999999998,30000001,5,1391.7778816223145
spark_not_cached,26.0909999999999,29.955,30000001,5,1391.7778816223145
local_R,93.08,1.74299999999994,30000001,5,1391.7778816223145
spark_in_memory,66.809,5.52700000000004,35000001,5,1643.9960622787476
spark_not_cached,27.8,33.619,35000001,5,1643.9960622787476
local_R,108.417,1.97499999999991,35000001,5,1643.9960622787476
spark_in_memory,73.9350000000002,6.22700000000009,40000001,5,1969.4962701797485
spark_not_cached,29.107,40.6900000000001,40000001,5,1969.4962701797485
local_R,126.831,2.19699999999989,40000001,5,1969.4962701797485
spark_in_memory,78.1190000000001,5.64800000000014,45000001,5,2278.0594987869263
spark_not_cached,30.7440000000001,46.1099999999999,45000001,5,2278.0594987869263
local_R,150.875,2.4670000000001,45000001,5,2278.0594987869263
spark_in_memory,27.509,3.24699999999999,5000001,5,273.53356170654297
spark_not_cached,19.767,8.17099999999999,5000001,5,273.53356170654297
local_R,13.158,0.265000000000015,5000001,5,273.53356170654297
spark_in_memory,81.778,6.53,50000001,5,2528.689781188965
spark_not_cached,30.647,43.627,50000001,5,2528.689781188965
local_R,173.442,2.642,50000001,5,2528.689781188965
spark_in_memory,94.323,7.91500000000008,55000001,5,2804.8077335357666
spark_not_cached,31.823,52.063,55000001,5,2804.8077335357666
local_R,177.743,2.66800000000001,55000001,5,2804.8077335357666
spark_in_memory,93.885,6.60599999999999,60000001,5,3097.4457302093506
spark_not_cached,34.881,50.62,60000001,5,3097.4457302093506
local_R,189.723,2.81200000000001,60000001,5,3097.4457302093506
spark_in_memory,105.228,7.32000000000005,70000001,5,3601.0928888320923
spark_not_cached,36.584,68.4810000000001,70000001,5,3601.0928888320923
local_R,219.568,3.1930000000001,70000001,5,3601.0928888320923
spark_in_memory,119.152,8.50800000000004,80000001,5,4175.262512207031
spark_not_cached,40.4340000000001,79.557,80000001,5,4175.262512207031
local_R,255.296,3.74300000000017,80000001,5,4175.262512207031
